shelter,data_set,lat,lon,type
Mollies Ridge,ATC,35.545757,-83.793667,Stone
Stony Brook,ATC,43.69187,-72.730766,Stick_w/Lumber_sidng
Hermit Lake Shelter (1 of 2),TNL,44.26109,-71.2863,Shelter
Moose Mountain Shelter,TNL,43.72718,-72.14926,Shelter
Deep Gap Shelter,TNL,34.88248,-83.64591,Shelter
Bobblets Gap Shelter,TNL,37.46712,-79.70121,Shelter
Leroy A. Smith,ATC,40.83939,-75.35978,Log
Matts Creek Shelter,TNL,37.59955,-79.4132,Shelter
Cable Gap Shelter,TNL,35.41523,-83.77342,Shelter
Spence Field,ATC,35.561784,-83.732667,Stone/Log
Lamberts Meadow,ATC,37.434587,-79.987724,Stone/Log
Blue Mountain,ATC,34.817199,-83.767008,Stick_w/T1_siding
Rice Field Shelter,TNL,37.37485,-80.75835,Shelter
Little Bigelow Lean-to,TNL,45.13917,-70.19115,Lean-to
Silers Bald,ATC,35.564263,-83.568248,Stone/Log
Rock Spring Hut,TNL,38.55353,-78.4083,Hut
Sam Moore,ATC,39.09063,-77.88657,Unknown
Eagles Nest,ATC,40.549352,-76.152755,Log
Pine  Knob,ATC,39.542479,-77.602121,Log
Imp Campsite,ATC,44.328949,-71.150717,Log/Lumber
Laurel Fork Shelter,TNL,36.27876,-82.13623,Shelter
Low Gap Shelter,TNL,34.77625,-83.8245,Shelter
Gooch Mountain,ATC,34.65553,-84.05003,Stick_w/T1_siding
Mt. Collins Shelter,TNL,35.59384,-83.47129,Shelter
Paul C. Wolfe Shelter,TNL,37.98543,-78.88367,Shelter
Melville Nauheim Shelter,TNL,42.88782,-73.09507,Shelter
Congdon,ATC,42.848096,-73.110427,Log/Lumber
Vandeventer Shelter,TNL,36.36707,-82.05877,Shelter
Gifford Woods State Park,TNL,43.67607,-72.8112,Unknown
Brown Mountain Creek Shelter,TNL,37.70944,-79.26831,Shelter
Lula Tye,ATC,43.39546,-72.95514,Other
Wise Shelter,TNL,36.654,-81.49836,Shelter
Carter Notch Hut,TNL,44.25926,-71.19533,Hut
Manassass Gap,ATC,38.930607,-78.032994,Log
Blood Mountain Shelter,TNL,34.74003,-83.93743,Shelter
Sabbath Day Pond Lean-to,TNL,44.84094,-70.66212,Lean-to
William Penn Shelter,TNL,40.49559,-76.41409,Shelter
Campbell Shelter,TNL,37.39082,-80.02922,Shelter
Mt. Wilcox North Lean-to,TNL,42.22108,-73.25018,Lean-to
Ethan Pond Campsite Shelter,TNL,44.17715,-71.42659,Shelter
Wildcat Shelter,TNL,41.26824,-74.26777,Shelter
Partnership Shelter,TNL,36.80953,-81.42237,Shelter
Derrick Knob,ATC,35.566503,-83.641887,Stone/Log
Hogback Ridge Shelter,TNL,35.96408,-82.58713,Shelter
Whitley Gap Shelter,TNL,34.7125,-83.83428,Shelter
Spring Mountain Shelter,TNL,35.95177,-82.79007,Shelter
Sarver Hollow Shelter,TNL,37.35469,-80.33741,Shelter
Manassas Gap Shelter,TNL,38.93071,-78.03269,Shelter
Goddard Shelter,TNL,42.97409,-73.07169,Shelter
Mizpah Spring Hut,TNL,44.2193,-71.36956,Hut
Stan Murray,ATC,36.11227,-82.06586,Unknown
Long Pond Lean-to,ATC,45.421148,-69.41023,Log/Lumber
Minerva Hinchey,ATC,43.48788,-72.92502,Other
Governor Clement,ATC,43.56467,-72.84885,Stone
Carter Gap Shelter (old),TNL,34.99998,-83.49476,Shelter
Docs Knob Shelter,TNL,37.27031,-80.83615,Shelter
Saunders Shelter,TNL,36.63776,-81.71347,Shelter
Lamberts Meadow Shelter,TNL,37.43461,-79.98754,Shelter
Leroy A. Smith Shelter,TNL,40.8394,-75.35939,Shelter
Hexacuba,ATC,43.876258,-72.027344,Log
Horns Pond Lean-tos,TNL,45.14388,-70.32966,Lean-to
The Perch Shelter,TNL,44.32446,-71.31048,Shelter
Cove Mountain Shelter,TNL,37.51163,-79.65071,Shelter
Pecks Corner Shelter,TNL,35.65083,-83.30848,Shelter
A. Rufus Morgan Shelter,TNL,35.32427,-83.59018,Shelter
Whitley Gap,ATC,34.712485,-83.834447,Log/Lumber
Kinsman Pond Campsite Shelter,TNL,44.13681,-71.7323,Shelter
Double Spring Gap Shelter,TNL,35.56527,-83.54274,Shelter
War Spur Shelter,TNL,37.39757,-80.47382,Shelter
West Mountain,ATC,41.282364,-74.009637,Stone
Cable Gap,ATC,35.415165,-83.773522,Log
Goddard,ATC,42.974103,-73.072615,Timber_Frame
Brink Road,ATC,41.153231,-74.838186,Log/Lumber
Brassie Brook Lean-to,TNL,42.02835,-73.45335,Lean-to
Mount Wilcox South Lean-to,ATC,42.207727,-73.268756,Timber_Frame
Pickle Branch Shelter,TNL,37.38016,-80.1846,Shelter
Eckville Shelter,TNL,40.63375,-75.95789,Shelter
Plumorchard Gap,ATC,34.945823,-83.588443,Post_&_Beam
Pickle Branch,ATC,37.38009,-80.18482,Log w/siding
Flint Mountain Shelter,TNL,36.03486,-82.59664,Shelter
Mt. Wilcox South Lean-to,TNL,42.20771,-73.26829,Lean-to
Cold Spring,ATC,35.230985,-83.560078,Log
Horns Pond Lean-to (west),ATC,45.14393,-70.33022,Log/Lumber
Wesser Bald,ATC,35.282497,-83.582451,Log/Lumber
Cosby Knob Shelter,TNL,35.72828,-83.1822,Shelter
Rocky Mountain,ATC,39.868502,-77.500911,Lumber
Baldpate Lean-to,TNL,44.59842,-70.91167,Lean-to
Mt. Algo Lean-to,TNL,41.7318,-73.49581,Lean-to
Johns Spring Shelter,TNL,37.38537,-80.07403,Shelter
Stratton Pond,ATC,43.100531,-72.964509,Post_&_Beam
Harpers Creek Shelter,TNL,37.85619,-79.0005,Shelter
Saunders,ATC,36.637683,-81.713643,Timber_Frame
Toms Run Shelters,TNL,40.03367,-77.35678,Shelter
RPH,ATC,41.514503,-73.792808,Other
High Point,ATC,41.315758,-74.657674,Stone
Antietam Shelter,TNL,39.7938,-77.48257,Shelter
Poplar Ridge Lean-to,TNL,44.97,-70.44534,Lean-to
Pine Knob Shelter,TNL,39.5425,-77.60181,Shelter
